Applicable Material,Brand Contact,Base,Brand,Capacity,Care Instructions,Category,Collection,Color,Compliance Standards,Construction,Control Type,Country of Origin,Depth,Diameter,Dirt Types,EAN,Energy Efficiency,Expiry,Finish,Freezer Capacity,Height,Length,Manufacturing Standard,Material,Model Number,Mounting,Packing Type,Power,Price,Room,Scent,Series,Shape,SKU,Style,Thickness,UPC,Warranty,Weight,Width,Product Type
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,077914056492,,071.84 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761475631723,, 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,073555529128,,253.28 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,036000212723,, 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,039956110921,,525.43 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,732913137206,, 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,088366331624,,530.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,086876193695,, 9,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,011171220029,,940.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,603390115110,, 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,762935901219,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042167303365,, 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044767109934,,391.79 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,817939006672,, 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,078731903600,,432.62 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042167500122,, 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044767130358,,500.65 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,095205762440,, 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641128845939,,546.01 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,071701001443,, 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,717641275321,,568.69 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,723783404451,, 10,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,041215250972,,700.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,086876049145,, 11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,078731940506,,300.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807174506327,, 11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,041165113204,,339.80 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,043859587834,, 11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649645231402,,500.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042167304089,, 11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,031009866281,,611.96 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,674785350379,, 11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,037000197430,,793.39 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044767100016,, 11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,073555557824,,800.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042167500733,, 12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,079594510363,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727351300015,, 12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,641128467506,,246.98 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,745123362337,, 12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042167500047,,251.52 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604669113219,, 12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,033983034571,,400.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,090415052381,, 12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,086876064391,,500.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,072504009506,, 12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,073286616876,,700.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042976244125,, 12,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759376185391,,700.58 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,073502520208,, 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,843977688235,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807174517118,, 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042167600655,,149.63 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,073310320199,, 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,042167100230,,154.17 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,044600011004,, 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048894043130,,200.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,086876184419,, 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,607.76 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 13,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,925.27 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 14,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,968.54 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,422.13 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 15,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,875.72 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465.39 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 16,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,782.90 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 17,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.09 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,504.46 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,667.75 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,890.01 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 19,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.05 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 20,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411.64 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 21,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,772.42 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.29 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 22,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,679.60 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 23,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.19 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 24,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,947.56 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,401.15 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,845.67 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 25,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,854.74 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.90 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.34 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 26,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761.93 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.52 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 27,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759.83 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.70 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.42 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,576.30 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,029.89 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 29,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,937.07 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 30,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,844.26 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 31,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,751.44 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 32,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.03 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 32,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,658.62 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.22 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 33,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.65 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,019.40 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 34,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,926.58 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.38 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380.18 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425.54 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,516.25 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 35,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,833.77 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 36,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 36,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.36 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 36,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,740.95 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,013.11 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.54 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 37,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,648.14 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.73 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 38,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,555.32 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 39,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,916.10 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,052.17 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 40,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823.28 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,276.87 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 41,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,730.46 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.06 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 42,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.36 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,091.24 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 43,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,998.42 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 44,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452.02 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 46,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 46,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.13 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 47,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 47,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627.16 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.34 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 48,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.94 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441.53 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500.49 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,895.12 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,940.48 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 49,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999.45 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 50,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802.30 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 51,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.90 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 51,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,709.49 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 51,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981.64 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 52,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.08 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 52,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.67 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 53,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,523.86 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 54,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 55,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,338.22 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 55,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.82 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.41 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 57,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.59 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 57,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606.18 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,059.78 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 58,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,966.96 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420.55 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 59,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,874.14 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 61,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.92 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 62,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 62,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,595.70 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,000.00 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 64,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,863.66 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 65,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,317.25 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 65,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770.84 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 66,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.43 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 66,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,678.02 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 67,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.62 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 68,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,945.98 g,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 69,,
