Brand,Interface,Model,"Portable Memory (Pen, Memory Card...)",Processor,Material,Condition,Memory Speed,Screen Size,Operating System,Output Voltage,Battery Capacity,Storage Capacity,UPC,Color,Power Supply,Security,Memory,Graphics Card,Data Transfer Rate,Warranty,Category,Clock Speed,Compliant Standards,Cable Length,Input,Cache Memory,RAID Level,Processor Socket,Data Link Protocol,Battery Type,Processor Core,Average Seek Time,Rotational Speed,Weight,Generation,Product Type,Country of Origin,EAN,Memory Type,Reading Speed,Writing Speed,SKU,Resolution
memory solution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.44 oz / 12.4 g,,,,5705965693377,,,,96D-00011,
merkloos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52 lb / 0.69 kg,,,,0757120811176,,,,VLCP85300W30,
metz connect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6 oz / 187 g,,,,7571208111766,,,,Y5ND2062,
microconnect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.87 oz / 138 g,,,,0889296915478,,,,AK-300304-002-E,
microcool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4,,,,8717371440930,,,,TDPGD48G3200HC16ADC01,
micromemory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5 oz (72 g),,,,0102645803548,,,,90NB0191-M03830,
micron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6 lb/2.5 kg,,,,2000011131555,,,,N8J64EA,
microsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.65kg,,,,2001113155005,,,,N8J64EA#ABH,
microstorage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2 kg,,,,2001124529000,,,,N10850/40TBENAS,
midland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88 lbs / 0.40 kg,,,,3540260000831,,,,4D242252,
midway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.99oz / 425g,,,,5706551038268,,,,KN.1GB03.022,
miele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06 oz,,,,5907176146233,,,,S14A-000-26201,
mindscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5 lb / 5.2 kg,,,,7330381288029,,,,871153-051,
mini-box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63 oz / 18 g,,,,7612392162810,,,,10FH001AGE,
minix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95 oz (27 g),,,,8032976011126,,,,774435-425,
mio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.8 lbs/9.0 kg,,,,0672042028719,,,,LC.BTP00.019,
mionix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.65 lb / 748.5 g,,,,6720420287198,,,,DK-1511-030/B,
misfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38 lb (0.17 kg),,,,4026203385122,,,,UTP525W,
mobiparts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.31 lbs,,,,4718000415521,,,,434905-B21,
mobotix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600,,,,0815530019114,,,,MK-43569,
modecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,00 g,,,,8716065129144,,,,USB-43569,
monitor audio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.23 lb/1.92 kg,,,,0842616011861,,,,SP032GBUF2T02V1K,
monster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.24 oz /347 g,,,,4719072452377,,,,GKB632B,
moshi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282 g,,,,0765441613744,,,,HDM19191V1.4A90,
motorola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.82 oz / 165 g,,,,0846651026880,,,,3-02896-10,
ms-tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.99oz / 510g,,,,0740617240719,,,,ACR-CB7624,
msi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0lb/1.4kg,,,,4053162865631,,,,80R20079MH,
msl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0 lb (453.6 g),,,,4056572668236,,,,RL8830,
mtron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27lbs,,,,0878615024274,,,,MTFDJAL3T8MBU-2AN1ZABYY,
mujjo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.5 oz / 779.6 g,,,,0815335025822,,,,SC-ALL8EG-K,
mushkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.13 lb/2.33 kg,,,,5412810102129,,,,FIB410007,
musical fidelity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.13 oz / 117 g,,,,0882658477232,,,,IB160001I556,
muvit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04kg,,,,4713883239400,,,,UTP507G,
mydigitalssd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5 lbs,,,,0889894586841,,,,SP-1GB-DDR3SO,
mygica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.4kgs,,,,0889894742230,,,,MJVG2N/A,
namco bandai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,,,,8595071030008,,,,CM8062101048401,
nanofixit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.22oz / 527g,,,,0190940571590,,,,HX428C14PBK4/32,
nanoxia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0 lb (0.9 kg),,,,4250078163954,,,,USR263093-OEM,
natec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,370g / 13.05oz,,,,5712505455678,,,,NDE0023,
natec genesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5 oz / 326 g,,,,3831109862636,,,,TRIFC-APP-IPD1052017-DONOT,
navilock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.91oz / 366g,,,,0740617233612,,,,10HY002NGE,
ncsoft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.97 lbs,,,,5054484661122,,,,FCREADMICRO3,
nec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5 kg,,,,7406172336122,,,,6ASPAT1MBK,
neff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,,,,7611990169474,,,,FD320539,
neffos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75oz / 163g,,,,4712900173635,,,,PP6-0.5M/B,
netgear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.21kg,,,,4712702650792,,,,C31CB25906E,
newstar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04 kg,,,,5711045358821,,,,1477670,
nextbase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 lbs,,,,4712900849400,,,,ATV1200,
nexus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53 oz /15 g,,,,0885631845288,,,,TS1GDL5066,
ngs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.02 lbs,,,,4053162951501,,,,S14A-000-24206,
nikon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.12oz / 372g,,,,4712900169324,,,,UTP602RBOOTED,
nillkin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69 oz / 133 g,,,,0190151595743,,,,MMG2305/1GB,
nintendo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9kg,,,,4719331320270,,,,VGP-BPL6,
nitro concepts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62 g/ 2.19 oz,,,,8718591182396,,,,EKMMD4GM314,
noctua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36 kg 0.79 lbs,,,,4047999400066,,,,K7X26AT#ABB,
nod32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.72 lb/2.14 kg,,,,0885631586853,,,,6027560,
noiseblocker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.78 oz,,,,4948382745521,,,,AK3696,
nonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227Kg,,,,7612392220459,,,,EKMMD8GA100,
nortel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293 g,,,,0815530015161,,,,826886-B21,
northq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.73 oz / 531 g,,,,8155300151616,,,,CM8062301061800,
nuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.24 oz / 177 g,,,,0675901343640,,,,NIL0049,
nvidia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.37 oz / 124 g,,,,0735858300018,,,,ST-HT4,
nzxt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.21 lbs,,,,5032037075206,,,,30A1002DMH,
ocz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74 oz / 21 g,,,,5032037075213,,,,2PCM-SF2989-L114,
oehlbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6 oz / 17.0 g,,,,8716065224931,,,,RP-HV164E-K,
oki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.7 lbs,,,,7394090201380,,,,RPHV164E-K,
olympia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92 oz,,,,6943051201825,,,,RPHV164EK,
olympus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23 oz,,,,5704327698371,,,,D8GX4M2B3200C16,
omnitronic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,662,,,,0685387328932,,,,CW8064701486707,
oneplus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75 lb/2.61 kg,,,,0088698524824,,,,MGTR2ZM/A,
onkyo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,324 g,,,,5055277006854,,,,CT3K8G3ERSLD8160B,
open hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.02 oz / 369 g,,,,8716065256574,,,,FB6501,
optoma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66 lbs,,,,4002888415330,,,,842978-B21,
origin storage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.92 lb/1.78 kg,,,,8718722460560,,,,J9165A,
otterbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.05oz / 200g,,,,5901969400045,,,,J9165A#ABB,
owc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43 lb (0.19 kg),,,,0882224923019,,,,90PT01V1-M01590,
palit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,542g / 19.12oz,,,,0882224987592,,,,21.15.1596,
panasonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10 lb / 0.05 kg,,,,0885370258806,,,,MU1MMRCA,
papst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.28 kg,,,,0885370720662,,,,MMI0018/2048,
paradox entertainment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5 lb (0.69kg),,,,4214569314102,,,,CN-071,
parallels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25lbs,,,,5499999024800,,,,49Y1567,
patriot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4oz / 635g,,,,7081243851812,,,,N0D97EA#ABH,
patriot memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.51 lb/2.50 kg,,,,0649528759313,,,,N0D97EAABH,
pdp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 lbs.,,,,4040849952524,,,,G3S-00944,
pentax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.6kg,,,,5056006110972,,,,B-UTP605O,
phanteks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02kg,,,,4713392918094,,,,N6PATCH75OR,
phicomm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88 oz / 110 g,,,,5711045249587,,,,B-SFTP601,
philips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.04oz / 228g,,,,4719543382110,,,,90PT01H1-M01440,
phobya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549g,,,,4053162799592,,,,79FKH,
phonar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167g / 5.89oz,,,,4981254028087,,,,LC.BTP01.024,
photofast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5 lbs / 0.2 kg,,,,3126170083012,,,,90NB07H1-M02430,
pinnacle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6 lbs,,,,4053162008526,,,,T100CHI-FG003T,
pioneer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7 lb / 3.5 kg,,,,4717276274382,,,,NX.M3EEH.012,
pkparis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4 kg,,,,8719675009219,,,,NX.G5HEH.002,
plantronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172g,,,,0672042041916,,,,57Y4635,
platinum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.22 oz / 715 g,,,,5711045080302,,,,21.99.3045,
plextor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2lb/5.99kg (Weight may vary by configuration),,,,4712795081039,,,,JC128A,
pny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.74oz / 418g,,,,4015867103975,,,,AHC630-1TU3-CBL,
pocketbook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0 LBS,,,,0672042043231,,,,ACFAN00027A,
point of view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20 g,,,,5711045319488,,,,SNK-P0068PS,
polaroid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 kg,,,,6720420432314,,,,DT.SYUEH.006,
polycom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8oz / 363g,,,,4713392837043,,,,SDCFX4-4096,
popcorn hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 lbs,,,,0740617244359,,,,SDCFX4-4096-901,
power dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.93 lbs,,,,0882658236570,,,,SDCFX4-4096-902,
powercolor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0 lb (2.7 kg),,,,4052792022971,,,,1A506165,
pqi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.02 oz /284 g,,,,4712900281415,,,,K3X08EA,
pretec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.77oz / 192g,,,,0636490032165,,,,K3X08EA#ABH,
primochill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.53Kg,,,,0763649033616,,,,POV-TAB-P1001W-232,
proficook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.9 lbs,,,,7636490032165,,,,TAB-P1001W-232,
profigold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 oz / 8 g,,,,8716065340877,,,,NX.G7BEH.022,
projecta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 lbs,,,,5099206052260,,,,T3-D2-DOCK-B,
prolabs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4 lb / 2.9 kg,,,,6720421452878,,,,T6C33AW,
prolimatech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.6g,,,,8717249400837,,,,T6C33AW#UUG,
promise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.9 lbs/6.30 kg (with easel stand),,,,7636490036675,,,,80RJ0005MB,
psa parts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5kg,,,,4016032372202,,,,XT962UA#ABA,
purelink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.45 lb/2.93 kg,,,,6950290681677,,,,625080-B21,
puro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3 lb / 0.1 kg,,,,3052015023731,,,,C000077,
q acoustics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.74 oz / 503 g,,,,5099206047587,,,,SATA12,
qlogic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146 g/ 5.15 oz,,,,6042015024613,,,,FIB422015P,
qmust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.1 lb/4.6 kg,,,,8042015023706,,,,464889-B21,
qnap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150 g,,,,8052015023743,,,,MMH9686/48GB,
qstarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6 lbs,,,,0696719393023,,,,FB9620,
quadral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30 oz / 377 g,,,,4002888415538,,,,NHC0075U,
quantum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.09 oz / 371 g,,,,4027927773165,,,,3CRPCIN175,
raidsonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9 lbs,,,,5060256381020,,,,MMG1180/512,
raijintek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.95oz / 424g,,,,8719675008540,,,,SA822,
rapoo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without Drive: 1.9 lb (0.9 kg),,,,4713883001700,,,,GR521AA,
raspberry pi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9 lbs (1.3 kg),,,,4713147716319,,,,GR521AA#ABB,
rasurbo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.13 oz /202 g,,,,5054484284086,,,,SVP100ES2/256G,
real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without Stand: 7.23 lb / 3.28 kg,,,,5054533284081,,,,BN224,
reflecta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.79oz / 476g,,,,5705965876220,,,,STP605R,
remax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.54oz / 242g,,,,8716065128802,,,,S14A-000-24614,
renice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.1 ounces,,,,5711045432569,,,,0B31078,
ricoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.17 oz / 345 g,,,,0888793510865,,,,HUSMR1610ASS200,
rikomagic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63 oz / 103 g,,,,5412810084784,,,,21.15.1556,
riotoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.74 oz,,,,5055288427853,,,,PVE416G240C5KRD,
roccat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.84oz / 109g,,,,8716502015108,,,,00052421,
rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4 lb / 10.2 kg,,,,0889955274076,,,,UTP603S,
rock candy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9 lb/2.7 kg,,,,4545350017293,,,,DS213J,
rockstar games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.21 oz / 573 g,,,,4056324469562,,,,90-MXGRP0-A0UAYZ,
roline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.38 oz / 1400g,,,,9005613133153,,,,FM2A88X Pro+,
rollei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 lbs/5.44 kg,,,,4902580760748,,,,FM2A88XPRO+,
rovio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151g,,,,0889894336873,,,,qM-HDTH-AP-IPPRO9.7-CAM,
roxio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900 g / 31.75 oz,,,,0662919079319,,,,CSE-825TQ-563LPB,
runphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073Kg,,,,0885631930199,,,,5450-7546,
saitek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.9 lb (4.49 kg),,,,5712505915479,,,,F3-17000CL9D-8GBXM,
salora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12oz / 287g,,,,0722868204115,,,,M0T01A,
samsonite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350g / 12.35oz,,,,5051749174496,,,,20CM001XGE,
samsung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07 oz (1.98 g),,,,7228682041156,,,,IK5801,
sandberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.7g,,,,8716051505877,,,,IB1205,
sandisk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.09 oz / 31 g,,,,0740617240610,,,,46W2841,
sapphire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0 oz / 255.2 g,,,,8592978034375,,,,21.99.1477,
satechi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.45kgs,,,,4058154067536,,,,PROM1212,
scansonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3 oz. (94 gm),,,,4712900153187,,,,1JT88EA#ABH,
scishion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52 lbs,,,,0889800079054,,,,13G030429011,
scosche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.08oz / 465g,,,,0812554021451,,,,qM-BKR-APP-IPPRO-BL,
scythe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 lbs,,,,4053858734999,,,,779556-B21,
seagate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230g,,,,5056006110903,,,,9S6-A61512-051,
sealife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012 Kg,,,,0766623151832,,,,DG.B1MEH.011,
seasonic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not Specified by Manufacturer,,,,4713883088459,,,,90NB08C1-M03780,
secomp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6 lb/3.0 kg,,,,8717825943024,,,,N551JX-CN311T,
sedna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11 lb/2.32 kg,,,,8716065223705,,,,LP36439,
sega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.01oz / 312g,,,,5055146570271,,,,LP36439-0WW,
sennheiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6oz / 170g,,,,7322460066765,,,,LP36439-OWW,
sharkoon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25kg,,,,0883585060184,,,,L2683A,
sharp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.42oz / 494g,,,,4948382506924,,,,L2683A#BEL,
shuttle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.29 lbs,,,,0760557811428,,,,RMJWC,
sigma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.87 oz / 223 g,,,,4713105951554,,,,SSTP60015,
silentmaxx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.5 oz (270 g),,,,4548736024564,,,,S14A-000-26903,
silicon power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6oz / 17g,,,,4014619378340,,,,CNPS14X,
silverstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.46 oz / 722 g,,,,4043619829781,,,,90XB015P-BSL1J0,
sitecom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,4026397449655,,,,830754-B21,
sjcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8 kg,,,,8718722119802,,,,GCT-1423,
skross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66 pounds,,,,0889233019955,,,,F4-3400C16Q-64GVR,
skullcandy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,,,,0649528762825,,,,SNK-P0057P,
soft xpansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2oz / 62.4g,,,,0718659357566,,,,7232000,
somfy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.002 lb/910 g,,,,6495287628254,,,,75041976,
sonicwall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 lb (0.12 kg),,,,0190793480803,,,,CP2068S,
sonim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.5 lbs/7.9 kg Approximately,,,,5055146591016,,,,UTP603PBOOTED,
sonoro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 3.95 oz / 112g,,,,0675901244428,,,,2PCM-CT51264BA160B,
sony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63 oz / 415g,,,,4051528310825,,,,STP605O,
sony nec optiarc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 gr.,,,,0191545182907,,,,E7W80A,
sony optiarc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.337 lb / 1.060 kg,,,,0190780102596,,,,00054595,
speaka professional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.27 oz / 121 g,,,,0190780682180,,,,SENTRY64,
speck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10 lbs.,,,,0190781039884,,,,804642-B21,
speedlink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,- g,,,,0190781039891,,,,V0X06EA,
spigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.57oz / 158g,,,,0190781213505,,,,V0X06EA#UUG,
spire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.3 lbs/29.2 kg,,,,0889899890103,,,,ASP610SS3-256GM-C,
splitfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02813Kg,,,,0883436351218,,,,GCUSB31B-00-G,
spotcam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.33 lb/3.78 kg,,,,4053162367890,,,,20FW003NGE,
square enix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,280 lbs,,,,8834363512182,,,,CSE-836E16-R500B,
startech.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78KG,,,,8718226220073,,,,INFD8GBNEONOR3.0,
steelseries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,850g,,,,0843591071949,,,,IB3400,
streacom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485g,,,,8716065207064,,,,ECMMD8GL101,
striiv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.026Kg,,,,0889349758793,,,,LSD64GCB1EU633,
strong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5kg / 23.1 lbs,,,,4712900758795,,,,USB3.1CHDMIS,
sumvision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.2 oz / 771.1 g,,,,8716502010127,,,,IS8901,
